1704368769# #步步惊心里若曦是怎么死的。太有独立思想且一直坚持自己，被封建社会那个大环境联合起来狙死的。。。《步步惊心》可以称之为反穿越神剧，刘诗诗作品里我最爱这部。马尔泰·若曦也是我心中的国产剧女角色no.1。。。当然，刘诗诗最近在爱奇艺播的《一念关山》我也喜欢，推荐大家去看看。女主任如意成了我的新
1689601126# #刘诗诗散粉超话。一姐短发俏皮灵动，长发温婉气质。今天是本人喜欢的气质型造型。最爱这四张。送花花
1701178949# #刘诗诗散粉超话。刘诗诗演技太好了，把任如意演活了！看完剧谁能不爱超能演的任如意啊！任如意就住在我心巴上了。
1692083262# #离火运，环境浮躁，人们压力大又难以宣泄，精神很容易抑郁。周围人的能量场非常重要。
1695804892# #记者:什么样的表演可以称之为“最美表演”呢？导演:有感染力的，倒不是说要有多复杂的技巧或者外在飙戏的部分，是让观众看了能感同身受的。喜欢一姐的戏和角色不是没理由的，她演戏的感染力强度是其他同期都达不到的。好演技，就是能把观众带进角色，感同身受。导演不错，有机会可以再合作。
1701185314# #刘诗诗牛批努力
1694051413# #哈哈哈哈哈哈哈哈哈哈
1697701515# #比我的刀工都好笑cry
1695903751# #刘诗诗散粉超话。想要竹业在国庆期间办开机仪式，还私信艾特制片人的，到底是黑，还是脑子注水泥了？思考
1699765583# #蒙古弓
1702044518# #把注意力放刘诗诗和任如意身上吧。刘诗诗演的那么好，大家都夸起来。
1690964452# #王政君竟然临朝称制过
1699254007# #刘诗诗散粉超话看了这个视频，谁能不心动。高贵美丽的女人穿越人群，向你款款走来，刹那芳华，一眼万年。
1699014779# #美
1699012615# #刘诗诗散粉超话elle红毯太美了。一姐yyds。
