1701475287# #日行一善超话每日一善阳光信用喜欢追梦的人，切记不要被梦想主宰；善于谋划的人，切记空想达不到目标；拥有实干精神的人，切记选对方向比努力做事重要。
1689763320# #成毅超话夏日环游指南超话星愿池希望哥哥健康平安！照顾好自己！莲花楼大爆！心心
1702196121# #可爱可爱心心
1691590892# #我刚在爱奇艺客户端截了这张图，快来看看
1699769735# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐莲花楼！来参与推荐，共同见证它的荣耀时刻吧！
1690207589# #转发微博
1697963524# #我今夜跑尽这空无一人的街道，明天，明天起来后我要重新做人，我要成为宇宙的孩子，世纪的孩子，挥霍我自己的青春。
1700837871# #成毅超话成毅爱奇艺尖叫之夜cy成毅。。澳门之夜群星璀璨。莲花楼上红绸招展。成毅盛装与君共看。尖叫之夜绿海烂漫。十一月二十五日。果不淇然不见不散。成毅莲花楼|李莲花|李相夷｜狐妖小红娘王权篇｜王权富贵
1704256397# #中午好！可爱可爱
1701439191# #成毅超话成毅莲花楼cy成毅李莲花李相夷。每一次看成毅演戏都是感官的盛宴，演技的舞台表现充满幸福的感觉。
1692851745# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼。惊才绝艳不可一世的李相夷永远的留在了东海之战，绝处逢生大智若愚的李莲花登场。期待演绎的武侠探案剧《莲花楼》。。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1690977573# #笛飞声发现角丽谯和万圣道封磬碰面，欲杀角丽谯抓封磬，却被一个黑衣人将“无心槐”震入体内！方花二人都急于查明单孤刀当年死因，二人寻到一处客栈，当年单孤刀的手下刘如京在此地敛尸，可得知二人是打听单孤刀的事情，立刻就被赶了出去。正在二人无计可施时，发现一具“活了的”尸体，竟是笛飞声！李
1703406012# #成毅超话成毅莲花楼cy成毅李莲花李相夷。犹如江水松柏，成毅的演技有种静动皆宜的绝妙平衡美。
1697809240# #成毅南风知我意cy成毅傅云深。成毅的表演有着令人难以抗拒的魅力和感染力。成毅的演技如同一层丝绸，光滑、细软而又有质感。又像画布上的细腻描摹，成毅将演技推向巅峰。
1704466721# #转发微博
1695397860# #转发微博
1703747275# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1691146601# #成毅超话成毅莲花楼cy成毅李莲花李相夷。喜欢成毅刻在骨子里的教养，印在心底的纯善，浸在眼底的璀璨，成毅，唯毅不可替代！
1704007170# #心心好帅啊！哥哥，一起跨年！新年快乐！可爱可爱可爱心心打call打call@成毅
1701862878# #心心鼓掌鼓掌
1692890626# #成毅莲花楼成毅成毅是一位爱与坚持并存的演员，用实力证明了自己的价值与魅力。他把人性中最真实的部分展现在荧幕上，让观众产生强烈的共鸣。
1703519538# #五次就好爱慕
1698160350# #哈哈哈哈哈哈哈哈好哈哈哈哈哈哈
1690159728# #转发微博
1694743802# #转发微博
1690693709# #照相机心心打call打call
1692376564# #转发微博
1699372570# #成毅超话成毅南风知我意cy成毅傅云深。他的演技如同大海之波澜壮阔，让人深感震撼和感动。
1695869988# #中秋快乐，注意安全心
1690778293# #打call打call
1703166152# #成毅超话成毅莲花楼cy成毅李莲花李相夷。犹如江水松柏，成毅的演技有种静动皆宜的绝妙平衡美。
1690089170# #成毅超话🪷&nbsp;成毅莲花楼十年故人重相逢，再续仗剑江湖梦，李莲花/李相夷请君共赏莲花楼微风莲花楼今晚开播
1702044620# #转发微博
1690078294# #心心可爱可爱
1691512107# #转发微博
